Date,Median,Lower_5,Upper_95,Path
2026-03-09,151762.51332866977,135034.99692257988,166786.0168275166,155032.31116461134
2026-03-10,151563.1192985839,135239.16656951944,166290.472433552,155532.73245437717
2026-03-11,152454.4806853705,135495.90698733562,166863.86388170833,159967.55249163974
2026-03-12,153034.104932945,136413.59568460792,166770.31823628006,161126.63319625726
2026-03-13,153656.89489667772,136182.29376831756,167571.34219416164,160896.1000842189
2026-03-16,154282.84364727308,136683.98101309018,168703.9583780844,160860.20153441263
2026-03-17,154748.98005024146,136739.60980192578,168161.0592716915,160694.8106748118
2026-03-18,154890.0475778484,137611.05656602944,168589.49798038742,160873.46866176376
2026-03-19,154720.48291649946,137666.84132734785,169022.28035270367,158617.89890330032
2026-03-20,154200.64625536115,137958.60821530517,169470.8524559093,158861.59597335308
2026-03-23,154199.44550357806,138350.4312805272,169828.6853448916,155301.3954946766
2026-03-24,154681.8898306341,137324.27917258933,170961.7242514153,155430.27007482218
2026-03-25,155296.37642019318,137756.99526930013,171426.8960667875,155828.9596335067
2026-03-26,155608.27923194348,138633.31044624472,172053.52390103298,157668.9651156837
2026-03-27,156038.58731414546,138568.6580558531,171315.6057868979,157609.79001746705
2026-03-30,156600.0318863655,138294.56656589865,171795.5445057488,159660.91862531053
2026-03-31,156872.91857000778,138406.59994783247,172692.63064513897,159222.0614231099
2026-04-01,157409.71619950235,137655.56838129592,173421.00623270668,159046.6151779231
2026-04-02,157888.07369196558,138475.5029422734,174711.25754092645,160172.22778712635
2026-04-03,158588.9085967743,138783.76317402459,175106.63319332225,159808.14222411558
2026-04-06,158552.20768421117,139407.9908536758,174741.2797669934,162320.30953430964
2026-04-07,159581.63940731948,139278.18144675603,175317.1966213059,163510.52488737134
2026-04-08,159628.07704810426,139809.16175320055,176841.61322499643,166254.71536215494
2026-04-09,160123.76036966906,139198.1862531303,176983.66136069314,167249.61751476003
2026-04-10,160660.08217398715,139550.09277265577,178434.75016554774,168737.1622822918
2026-04-13,161423.74530676336,139200.57323615716,178332.57401736194,169306.1895878883
2026-04-14,161757.46123510928,139281.80721879462,180309.57139038618,168812.07131221265
2026-04-15,162285.6675356471,139402.25762068844,182000.97271678637,168974.0244308514
2026-04-16,162750.37365236424,140276.7413489767,182243.6160270321,171978.37497156273
2026-04-17,163098.26411781157,141191.2667093194,181585.06002190156,172921.8241726433
2026-04-20,162743.4033201961,141224.3554546144,183716.53271145798,174708.50926529636
2026-04-21,162894.7470616139,141796.5878936183,183443.3999656646,177254.6913114535
2026-04-22,164208.88228317344,142079.1342266787,183931.9642883167,178463.3623027902
2026-04-23,164158.8595053596,142101.4764155332,184358.17098307222,179774.0677722593
2026-04-24,164123.6962057284,141935.15586046528,186874.24379411546,182148.05986597203
2026-04-27,164190.22773375412,141954.64673325032,188284.54365439652,181365.14013530684
2026-04-28,164007.22615813738,141902.86186120336,189601.575579012,183248.93144644756
2026-04-29,164760.55558007216,141459.54049713232,188630.13115118752,182962.10912153847
2026-04-30,165631.03367951146,141441.015021384,187724.26416029234,186325.9949479317
2026-05-01,165306.65853532008,141699.66752991616,189326.6596750912,184801.59126368831
2026-05-04,165900.9167396676,141160.47029511404,188407.33313851806,187518.98386082923
2026-05-05,166548.57804990956,142807.3140041078,189297.53956662855,187746.240731767
2026-05-06,166369.35317332184,143802.26166524173,189220.04901299832,188643.58203654687
2026-05-07,167488.4869057181,143663.50630512883,192237.63105630816,188906.84565137245
2026-05-08,168275.79725554978,143167.86832767882,192302.7196669371,194472.6886887764
2026-05-11,168591.5735857362,143091.4480931691,193759.9909498986,192251.7969168756
2026-05-12,167590.44465711102,143966.97341806494,193741.03890346398,193473.2761279564
2026-05-13,168652.6623940138,144310.24360249232,194800.11478057943,193679.05660473698
2026-05-14,168628.557807565,144541.91925069352,195054.96891377863,193501.39277188218
2026-05-15,168983.21191798063,144442.87127112862,194998.71433901804,190628.08166071295
2026-05-18,169450.7490563835,143240.12615871904,194869.00842935257,190459.36185305993
2026-05-19,169571.77183858617,144380.3778606529,195164.6370196748,190775.91793547446
2026-05-20,169960.9913994699,144256.9208658028,195591.69001494168,191480.39892943425
2026-05-21,169849.31315319584,144894.79080605737,195716.98751289066,191927.3073258059
2026-05-22,170594.2586617666,146498.62478836539,196022.6014026596,191832.3350830286
2026-05-25,171685.41624069016,145238.8082837494,197022.51087364712,197690.7974601736
2026-05-26,172306.69770299428,146875.62721759986,198940.58291293768,199030.21732723972
2026-05-27,171578.72628576015,146762.92974915772,199251.0679501903,201139.0068860427
2026-05-28,173538.1043370107,146819.24637906812,200190.23455385608,204519.43440134378
2026-05-29,174129.05251522711,147286.45225063263,200309.08591171532,205344.26595810894
2026-06-01,174006.2915441625,147804.74183825214,200172.88698019355,206011.46875490478
2026-06-02,175021.9595736112,148470.76888920585,200228.41675147807,203519.91950322225
2026-06-03,174989.11828698817,148550.60684422776,201917.208169054,206664.0216145623
2026-06-04,175047.79819985037,147408.92027471936,201665.19400327283,203406.4847806988
2026-06-05,175407.10224310297,147532.11330690648,202111.82813897033,204818.09760421998
2026-06-08,176463.29639936035,147794.20189127582,203196.25703068037,204617.73279282116
2026-06-09,176270.42772888468,147838.9167611322,203007.64341747484,203402.214579196
2026-06-10,176673.01831238947,147899.62487108854,204334.01505398413,202995.54950672522
2026-06-11,176438.11071251286,148918.527385478,205007.52347911068,204003.87319781852
2026-06-12,177123.27409810608,147946.78357041246,205669.38237070089,204317.63421745723
2026-06-15,177382.12704512337,148771.40436212998,206319.60870959144,207838.15609344997
2026-06-16,178172.2271990536,149678.7733816176,206552.24489628326,207472.67712694666
2026-06-17,178199.3931642204,149948.6778644882,208112.61472615227,209897.251125248
2026-06-18,178723.13967406505,150374.71411586148,208998.49591088132,207051.34506654422
2026-06-19,178638.71109997656,150063.44456991236,209425.20920710955,209760.61212993096
2026-06-22,178672.2420363092,151299.37974424922,210772.36018955236,211142.99268792174
2026-06-23,178876.43901970738,151591.2434825602,209911.57833192035,200749.06948463005
2026-06-24,179857.25687073328,150949.4875611922,211876.45592847408,200713.71054481546
2026-06-25,179909.8456641034,150547.29666015564,212633.45735993778,200721.69638967174
2026-06-26,181317.2929712782,150055.86851145033,213139.01044100316,203001.5125095476
