Date,Median,Lower_5,Upper_95,Path
2026-03-03,146955.3753657562,129158.70397056753,166125.2454140366,150627.40088758507
2026-03-04,147371.56274520722,130284.36424293337,165783.77937436852,149735.42754040787
2026-03-05,147638.89224149007,130510.42050255861,165580.30603554077,150323.51952455644
2026-03-06,147976.08949560215,130528.39999717989,166892.12867121797,151146.92442402832
2026-03-09,148524.885560226,130108.8303110771,167395.83101949628,154098.0336669879
2026-03-10,149935.33937251117,130499.60905893045,167945.68232700188,153690.54080713773
2026-03-11,149341.38524912414,129961.54570368037,167876.26536852313,157469.2298348321
2026-03-12,149689.35953461795,130095.84062018924,167897.65863393765,157752.49969038944
2026-03-13,149505.2304889514,130967.78736190354,169994.89841560295,157683.57025007068
2026-03-16,151039.83600899257,131759.03956396758,171066.53025331153,157498.96849928325
2026-03-17,151811.8053364348,132400.08159546647,171526.9838624999,157138.9047890191
2026-03-18,151326.0520466948,133989.43335721223,171171.45463875117,156500.75441480294
2026-03-19,151518.37389515922,132687.26580710072,171207.39069022666,155338.10492566123
2026-03-20,151627.63507179814,133060.48104850456,171077.4978229503,157143.31414019506
2026-03-23,152381.47389925868,134477.32281588035,171939.19586594644,153503.9433182512
2026-03-24,152276.97894527746,134361.33057246188,173056.21740134177,152776.0216581885
2026-03-25,152493.14311523415,132939.5895110823,173352.32786260243,152150.5189486601
2026-03-26,152466.42570133414,133420.40853159147,173459.6740083081,153696.84135914838
2026-03-27,153189.57599469312,133831.02120255367,174394.28014713855,154323.14443147145
2026-03-30,153744.3304676174,132924.34138837282,175973.99520454605,156611.5138756763
2026-03-31,154306.77384068546,132287.30725568172,177974.75647566744,155798.73185816116
2026-04-01,154752.39195278118,132091.3665567813,177590.24709766073,155409.5706297372
2026-04-02,154942.06645162392,132528.75973545093,177228.7477213628,155176.9600781221
2026-04-03,155031.2283593427,133007.57944672328,178490.9318504999,154932.37800491395
2026-04-06,156150.5912834783,133153.6230792336,178045.1361910316,157895.36395603782
2026-04-07,156504.24576305802,132711.22040907224,179190.29676709833,159032.1215218469
2026-04-08,157222.79144341557,133401.33735575207,179639.96002096613,160992.30111798007
2026-04-09,157618.1469347102,133323.66832335212,180584.60076242278,160554.38731361704
2026-04-10,158155.77916221222,134168.58442878202,180375.47447157564,161666.64655941466
2026-04-13,158311.1299105002,134442.70435234872,181322.1878196289,163268.4780506318
2026-04-14,158728.45984068402,134928.63848199262,181556.47667320663,162135.4960472425
2026-04-15,159410.17050332684,135650.2998773783,183211.66328906603,162878.7952522749
2026-04-16,159520.1782261977,135397.53075793784,183106.61098930895,164943.95415023825
2026-04-17,159533.7213322416,134773.37482843932,184570.8380865729,165869.6096774962
2026-04-20,161026.73277216288,135975.55661583503,185896.09943602697,166110.8612117827
2026-04-21,160827.77635505787,136045.78742720504,186714.7233799234,168791.4289320457
2026-04-22,162133.33032216984,135703.26500074894,187601.02335891972,169673.5066445511
2026-04-23,162673.97444079374,136164.7961440442,188620.36060336267,171792.7149280101
2026-04-24,163420.1420852478,136075.4171530358,189834.89514381974,173607.02238277337
2026-04-27,162921.8866885422,135918.60047251664,192308.17056100114,171928.97220106336
2026-04-28,163953.11956624378,135471.98336958306,190909.38800295838,172767.79891437676
2026-04-29,164400.17062853678,135334.31035097243,189657.321430117,170426.62434807123
2026-04-30,164698.3256816348,135630.6922946206,191323.50977918258,174510.9811362587
2026-05-01,165548.7777711025,136958.47451940022,192057.0830857544,173607.56149029805
2026-05-04,166267.2858513725,137127.61568935524,192144.00782794316,176828.02970272893
2026-05-05,167067.3226869075,137451.53388271626,194464.995220429,176241.25213911175
2026-05-06,168138.6438260101,138950.01717350696,195409.6051811896,178161.1569548294
2026-05-07,166644.62573303588,136995.26370511152,197649.8070877414,177662.88779227805
2026-05-08,168953.07509755812,136491.75799685647,194369.8629513917,183795.05836974803
2026-05-11,167597.31579102727,136911.6277026337,196950.99676871888,182771.25748790556
2026-05-12,168540.14512650145,136558.10493640258,197197.6621942243,185309.2594680218
2026-05-13,168606.90158501346,137350.0174449399,197659.52452831052,184407.76079945642
2026-05-14,169830.2527952902,137102.47696895443,195621.08605483425,184222.05518263628
2026-05-15,169357.1784516852,138248.71339312376,195462.13577528033,180413.14089930442
2026-05-18,169490.7152612619,138523.9815082349,198259.75035266526,180167.39038743725
2026-05-19,170232.0570299968,139371.45172790976,200333.2794302249,180900.5574700781
2026-05-20,171339.39473585295,139289.90191154982,202696.6214475576,182883.29975873287
2026-05-21,171943.4194130332,139287.43369980887,201069.84184162287,183002.05166118653
2026-05-22,171953.60642052777,138889.4086575557,200670.31571362854,181682.06028680093
2026-05-25,172343.9230924588,138786.19077861457,200754.41378181914,187004.29741333483
2026-05-26,172240.50632135462,139523.05619738923,201320.12433309635,189547.52885657953
2026-05-27,172035.55319693167,140812.8215191972,203313.74440978814,193170.40397071966
2026-05-28,173250.7123598344,140778.0181613106,203996.1392377941,195159.31342017525
2026-05-29,173862.7299261202,140848.5147775244,204871.92571821192,196617.02525992176
2026-06-01,174192.1783135364,143078.0863422949,206755.90142399588,196919.73658880813
2026-06-02,174525.98978012035,143227.78862150572,207130.97246871341,195923.6752594669
2026-06-03,174980.17682510716,143271.25261233718,208860.17619944358,198927.64595337145
2026-06-04,174996.76297637977,142481.32779556347,208276.53333146364,196439.60575541842
2026-06-05,175514.42964499316,142323.20933196388,208128.8518386495,199971.21646822928
2026-06-08,175853.85169077537,141382.12762333453,208470.16933591384,200254.91998842475
2026-06-09,176156.76063370693,142202.07129539477,211156.96565527344,198949.1059719351
2026-06-10,178162.28056704905,142817.14485096963,214234.66496845926,198459.37638227793
2026-06-11,177292.77559210357,143202.4656147216,213567.9409082515,198695.20090610787
2026-06-12,178368.0632675857,143691.4199435718,212546.8537689191,199162.88251664423
2026-06-15,177733.9525024966,142980.20240470124,211264.70817400655,203956.06282576165
2026-06-16,178419.36036835436,144979.06177650965,212361.67983038828,203210.49004046113
2026-06-17,178761.77191613434,145134.1856668278,215831.81358875512,207573.48657914883
2026-06-18,178545.31020896067,144894.73382031947,214538.0162319755,203530.2670657113
2026-06-19,179878.96920063312,145957.47390693554,215099.63529151576,205617.2147273881
2026-06-22,179869.81648244095,146548.45841735989,214861.46283856357,206176.19931230118
2026-06-23,180617.9886984778,146788.62766948534,216184.63000396988,198097.35931193875
2026-06-24,180237.36649205105,147088.4136602223,217623.91388668912,197920.416828935
2026-06-25,179603.65683262772,148188.19422639225,218253.11672598217,198369.0660015488
2026-06-26,181223.49613519426,148600.11729836932,219671.70682794537,200670.95759138017
